Variant,Mean_Reward,Std_Reward,Mean_Length,Std_Length,Mean_Control,Mean_Velocity,Video
Baseline,1369.709180256473,843.2989573045007,709.85,376.21327395508,492.18628,1.3132777083798566,baseline_gait.mp4
Symmetric,1523.2553435559266,579.9684659800323,827.75,267.6947655446404,741.99786,1.3116843700409275,symmetric_gait.mp4
Efficient,1499.1817354549416,526.7132938656507,883.45,283.6382334947107,476.89902,1.0981875013499225,efficient_gait.mp4
Speed,1040.402816284875,764.3427704782657,516.65,368.3037163809239,681.68933,1.1708185837157137,speed_gait.mp4
Symmetric_Fixed,421.26106544390393,267.65754982870106,581.9,364.4081365721682,510.99847412109375,0.0,
